Patients,H1,H2,LR,Batch,Epochs,W1,W2,W3,FinalReward,,,
1000,128,256,0.001,64,50,2,-0.3,0.3,-1.496021999,,,
1000,128,256,0.001,64,50,1,-1,0.2,-2.193364,,,
1000,128,256,0.001,64,50,1,-0.2,1,6.279163071,,,
1000,128,256,0.0005,128,100,2,-0.3,0.3,-1.09116335,,,
1000,128,256,0.0005,128,100,1,-1,0.2,-2.236538359,,,s
1000,128,256,0.0005,128,100,1,-0.2,1,6.211484071,,,
1000,128,256,0.0001,32,150,2,-0.3,0.3,-0.923427696,,,
1000,128,256,0.0001,32,150,1,-1,0.2,-2.109417703,,,
1000,128,256,0.0001,32,150,1,-0.2,1,6.322147795,,,
2000,128,256,0.001,64,50,2,-0.3,0.3,-1.210366362,,,
2000,128,256,0.001,64,50,1,-1,0.2,-2.214432652,,,
2000,128,256,0.001,64,50,1,-0.2,1,6.228654711,,,
2000,128,256,0.0005,128,100,2,-0.3,0.3,-1.744500784,,,
2000,128,256,0.0005,128,100,1,-1,0.2,-2.131133022,,,
2000,128,256,0.0005,128,100,1,-0.2,1,6.288960902,,,
2000,128,256,0.0001,32,150,2,-0.3,0.3,-1.361785456,,,
2000,128,256,0.0001,32,150,1,-1,0.2,-2.226072773,,,
2000,128,256,0.0001,32,150,1,-0.2,1,6.143767084,,,
5000,128,256,0.001,64,50,2,-0.3,0.3,-0.932257566,,,
5000,128,256,0.001,64,50,1,-1,0.2,-2.379543739,,,
5000,128,256,0.001,64,50,1,-0.2,1,6.213075024,,,
5000,128,256,0.0005,128,100,2,-0.3,0.3,-0.91058277,,,
5000,128,256,0.0005,128,100,1,-1,0.2,-2.35119155,,,
